kodesatker,"nama satker","simkb gunung api"
3208,"BPS Kab. Kuningan","82.16"
3278,"BPS Kota Tasikmalaya","80.83"
3271,"BPS Kota Bogor","79.98"
1117,"BPS Kab. Bener Meriah","79.78"
8205,"BPS Kab. Halmahera Utara","79.30"
1211,"BPS Kab. Karo","78.79"
3200,"BPS Provinsi Jawa Barat","78.32"
3206,"BPS Kab. Tasikmalaya","78.05"
3302,"BPS Kab. Banyumas","77.37"
3209,"BPS Kab. Cirebon","76.84"
1303,"BPS Kab. Solok","76.70"
1108,"BPS Kab. Aceh Besar","76.17"
3272,"BPS Kota Sukabumi","75.31"
3307,"BPS Kab. Wonosobo","75.06"
5312,"BPS Kab. Ngada","74.79"
5319,"BPS Kab. Manggarai Timur","74.56"
1810,"BPS Kab. Pringsewu","74.41"
7173,"BPS Kota Tomohon","74.33"
7100,"BPS Provinsi Sulawesi Utara","74.24"
7373,"BPS Kota Palopo","73.55"
7171,"BPS Kota Manado","72.39"
1673,"BPS Kota Pagar Alam","72.24"
7108,"BPS Kab. Kepulauan Sitaro","71.99"
5308,"BPS Kab. Lembata","71.66"
3306,"BPS Kab. Purworejo","71.65"
3205,"BPS Kab. Garut","71.61"
3400,"BPS Provinsi Dista Yogyakarta","71.00"
7172,"BPS Kota Bitung","69.24"
3322,"BPS Kab. Semarang","69.11"
1310,"BPS Kab. Solok Selatan","68.97"
1809,"BPS Kab. Pesawaran","68.34"
7174,"BPS Kota Kotamobagu","67.60"
1278,"BPS Kota Gunung Sitoli","67.56"
1305,"BPS Kab. Tanah Datar","67.25"
1312,"BPS Kab. Pasaman Barat","67.22"
7103,"BPS Kab. Kepulauan Sangihe","67.06"
8271,"BPS Kota Ternate","66.23"
7102,"BPS Kab. Minahasa","65.85"
1375,"BPS Kota Bukittinggi","65.76"
3579,"BPS Kota Batu","65.51"
8200,"BPS Provinsi Maluku Utara","65.23"
7106,"BPS Kab. Minahasa Utara","63.35"
3217,"BPS Kab. Bandung Barat","60.74"
1376,"BPS Kota Payakumbuh","57.95"
1374,"BPS Kota Padang Panjang","46.24"